{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2385, 'n_source': 25, 'n_target': 100, 'lipton': 0.36, 'prop-target': 1.2589473684210524, 'oracle': 0.36, 'iter': 0}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2387, 'n_source': 25, 'n_target': 100, 'lipton': 0.31, 'prop-target': 0.7854545454545454, 'oracle': 0.31, 'iter': 58}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2389, 'n_source': 25, 'n_target': 100, 'lipton': 0.27, 'prop-target': 2.2880000000000007, 'oracle': 0.28, 'iter': 56}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2363, 'n_source': 25, 'n_target': 100, 'lipton': 0.74, 'prop-target': 0.4130434782608696, 'oracle': 0.32, 'iter': 59}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2329, 'n_source': 25, 'n_target': 100, 'lipton': 0.33, 'prop-target': 1.2400000000000002, 'oracle': 0.34, 'iter': 57}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2317, 'n_source': 25, 'n_target': 100, 'lipton': 0.31, 'prop-target': 0.549433962264151, 'oracle': 0.3, 'iter': 61}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.241, 'n_source': 25, 'n_target': 100, 'lipton': 0.26, 'prop-target': 0.5771111111111112, 'oracle': 0.27, 'iter': 63}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2311, 'n_source': 25, 'n_target': 100, 'lipton': 0.26, 'prop-target': 0.5599999999999999, 'oracle': 0.25, 'iter': 68}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2382, 'n_source': 25, 'n_target': 100, 'lipton': 0.3, 'prop-target': 0.7264705882352941, 'oracle': 0.3, 'iter': 82}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2318, 'n_source': 25, 'n_target': 100, 'lipton': 0.73, 'prop-target': 0.1351578947368421, 'oracle': 0.28, 'iter': 67}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.244, 'n_source': 25, 'n_target': 100, 'lipton': 0.69, 'prop-target': 0.13520833333333332, 'oracle': 0.31, 'iter': 60}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2431, 'n_source': 25, 'n_target': 100, 'lipton': 0.42, 'prop-target': 0.6330434782608696, 'oracle': 0.43, 'iter': 66}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2283, 'n_source': 25, 'n_target': 100, 'lipton': 0.33, 'prop-target': 0.7006153846153844, 'oracle': 0.33, 'iter': 64}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2442, 'n_source': 25, 'n_target': 100, 'lipton': 0.36, 'prop-target': 0.8959999999999999, 'oracle': 0.36, 'iter': 71}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2399, 'n_source': 25, 'n_target': 100, 'lipton': 0.46, 'prop-target': 0.525217391304348, 'oracle': 0.46, 'iter': 70}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2368, 'n_source': 25, 'n_target': 100, 'lipton': 0.6, 'prop-target': 0.4019417475728155, 'oracle': 0.3, 'iter': 69}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2495, 'n_source': 25, 'n_target': 100, 'lipton': 0.32, 'prop-target': 0.8680000000000002, 'oracle': 0.34, 'iter': 65}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2361, 'n_source': 25, 'n_target': 100, 'lipton': 0.37, 'prop-target': 1.1040000000000003, 'oracle': 0.37, 'iter': 78}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2408, 'n_source': 25, 'n_target': 100, 'lipton': 0.24, 'prop-target': 0.7427118644067797, 'oracle': 0.24, 'iter': 76}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2287, 'n_source': 25, 'n_target': 100, 'lipton': 0.28, 'prop-target': 0.8968115942028987, 'oracle': 0.28, 'iter': 62}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2421, 'n_source': 25, 'n_target': 100, 'lipton': 0.32, 'prop-target': 0.550188679245283, 'oracle': 0.32, 'iter': 77}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2391, 'n_source': 25, 'n_target': 100, 'lipton': 0.69, 'prop-target': 0.49056603773584906, 'oracle': 0.3, 'iter': 80}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2342, 'n_source': 25, 'n_target': 100, 'lipton': 0.67, 'prop-target': 0.32145454545454555, 'oracle': 0.32, 'iter': 83}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2337, 'n_source': 25, 'n_target': 100, 'lipton': 0.33, 'prop-target': 0.87, 'oracle': 0.33, 'iter': 79}
, 'iter': 81}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2379, 'n_source': 25, 'n_target': 100, 'lipton': 0.31, 'prop-target': 0.6784615384615386, 'oracle': 0.32, 'iter': 84}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2359, 'n_source': 25, 'n_target': 100, 'lipton': 0.62, 'prop-target': 0.396, 'oracle': 0.32, 'iter': 86}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2367, 'n_source': 25, 'n_target': 100, 'lipton': 0.33, 'prop-target': 0.6148148148148149, 'oracle': 0.33, 'iter': 88}
'iter': 92}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2408, 'n_source': 25, 'n_target': 100, 'lipton': 0.42, 'prop-target': 0.9, 'oracle': 0.43, 'iter': 89}
3, 'iter': 93}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2357, 'n_source': 25, 'n_target': 100, 'lipton': 0.33, 'prop-target': 0.5492307692307691, 'oracle': 0.33, 'iter': 74}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2397, 'n_source': 25, 'n_target': 100, 'lipton': 0.68, 'prop-target': 0.22857142857142865, 'oracle': 0.32, 'iter': 72}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2322, 'n_source': 25, 'n_target': 100, 'lipton': 0.28, 'prop-target': 0.6347058823529411, 'oracle': 0.26, 'iter': 75}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2339, 'n_source': 25, 'n_target': 100, 'lipton': 0.6, 'prop-target': 0.38235294117647056, 'oracle': 0.42, 'iter': 73}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2355, 'n_source': 25, 'n_target': 100, 'lipton': 0.3, 'prop-target': 0.592258064516129, 'oracle': 0.29, 'iter': 34}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2374, 'n_source': 25, 'n_target': 100, 'lipton': 0.34, 'prop-target': 0.5131914893617022, 'oracle': 0.32, 'iter': 30}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2341, 'n_source': 25, 'n_target': 100, 'lipton': 0.67, 'prop-target': 0.3200000000000023, 'oracle': 0.35, 'iter': 31}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2341, 'n_source': 25, 'n_target': 100, 'lipton': 0.36, 'prop-target': 0.6387096774193547, 'oracle': 0.36, 'iter': 44}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2418, 'n_source': 25, 'n_target': 100, 'lipton': 0.67, 'prop-target': 0.2905882352941176, 'oracle': 0.3, 'iter': 33}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2386, 'n_source': 25, 'n_target': 100, 'lipton': 0.61, 'prop-target': 0.3215384615384615, 'oracle': 0.39, 'iter': 29}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2432, 'n_source': 25, 'n_target': 100, 'lipton': 0.35, 'prop-target': 0.6782608695652176, 'oracle': 0.34, 'iter': 50}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2414, 'n_source': 25, 'n_target': 100, 'lipton': 0.37, 'prop-target': 0.6740740740740739, 'oracle': 0.36, 'iter': 38}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2429, 'n_source': 25, 'n_target': 100, 'lipton': 0.34, 'prop-target': 0.8281481481481482, 'oracle': 0.34, 'iter': 37}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2363, 'n_source': 25, 'n_target': 100, 'lipton': 0.33, 'prop-target': 0.6000000000000001, 'oracle': 0.35, 'iter': 32}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2374, 'n_source': 25, 'n_target': 100, 'lipton': 0.3, 'prop-target': 0.6600000000000003, 'oracle': 0.28, 'iter': 35}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2422, 'n_source': 25, 'n_target': 100, 'lipton': 0.25, 'prop-target': 0.64, 'oracle': 0.25, 'iter': 47}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.236, 'n_source': 25, 'n_target': 100, 'lipton': 0.29, 'prop-target': 0.6972727272727276, 'oracle': 0.29, 'iter': 51}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2444, 'n_source': 25, 'n_target': 100, 'lipton': 0.35, 'prop-target': 0.5795744680851063, 'oracle': 0.35, 'iter': 48}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2354, 'n_source': 25, 'n_target': 100, 'lipton': 0.28, 'prop-target': 0.6176470588235294, 'oracle': 0.27, 'iter': 41}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2366, 'n_source': 25, 'n_target': 100, 'lipton': 0.65, 'prop-target': 0.3333333333333334, 'oracle': 0.29, 'iter': 52}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2356, 'n_source': 25, 'n_target': 100, 'lipton': 0.25, 'prop-target': 0.5478260869565218, 'oracle': 0.25, 'iter': 45}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2407, 'n_source': 25, 'n_target': 100, 'lipton': 0.29, 'prop-target': 0.8166666666666665, 'oracle': 0.29, 'iter': 36}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2348, 'n_source': 25, 'n_target': 100, 'lipton': 0.72, 'prop-target': 0.48181818181818187, 'oracle': 0.31, 'iter': 40}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2408, 'n_source': 25, 'n_target': 100, 'lipton': 0.6, 'prop-target': 0.3652941176470588, 'oracle': 0.33, 'iter': 46}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.233, 'n_source': 25, 'n_target': 100, 'lipton': 0.36, 'prop-target': 1.56, 'oracle': 0.36, 'iter': 53}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2368, 'n_source': 25, 'n_target': 100, 'lipton': 0.28, 'prop-target': 0.8166666666666669, 'oracle': 0.29, 'iter': 49}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2362, 'n_source': 25, 'n_target': 100, 'lipton': 0.35, 'prop-target': 0.52, 'oracle': 0.35, 'iter': 28}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2431, 'n_source': 25, 'n_target': 100, 'lipton': 0.23, 'prop-target': 0.8869565217391303, 'oracle': 0.23, 'iter': 94}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2338, 'n_source': 25, 'n_target': 100, 'lipton': 0.32, 'prop-target': 0.5471304347826087, 'oracle': 0.3, 'iter': 39}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2318, 'n_source': 25, 'n_target': 100, 'lipton': 0.65, 'prop-target': 0.09000000000000008, 'oracle': 0.33, 'iter': 43}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2414, 'n_source': 25, 'n_target': 100, 'lipton': 0.65, 'prop-target': 0.4667796610169491, 'oracle': 0.39, 'iter': 95}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2341, 'n_source': 25, 'n_target': 100, 'lipton': 0.63, 'prop-target': 0.34285714285714297, 'oracle': 0.42, 'iter': 97}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2394, 'n_source': 25, 'n_target': 100, 'lipton': 0.26, 'prop-target': 0.8859259259259258, 'oracle': 0.27, 'iter': 99}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2381, 'n_source': 25, 'n_target': 100, 'lipton': 0.63, 'prop-target': 0.42857142857142866, 'oracle': 0.35, 'iter': 98}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2348, 'n_source': 50, 'n_target': 100, 'lipton': 0.24, 'prop-target': 0.6868421052631577, 'oracle': 0.24, 'iter': 11}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2379, 'n_source': 50, 'n_target': 100, 'lipton': 0.32, 'prop-target': 0.8944, 'oracle': 0.33, 'iter': 96}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2329, 'n_source': 50, 'n_target': 100, 'lipton': 0.31, 'prop-target': 0.8, 'oracle': 0.32, 'iter': 29}
5, 'iter': 94}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2327, 'n_source': 50, 'n_target': 100, 'lipton': 0.34, 'prop-target': 0.5357142857142858, 'oracle': 0.34, 'iter': 0}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.239, 'n_source': 50, 'n_target': 100, 'lipton': 0.25, 'prop-target': 0.8705882352941179, 'oracle': 0.25, 'iter': 36}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2358, 'n_source': 50, 'n_target': 100, 'lipton': 0.32, 'prop-target': 0.7226086956521738, 'oracle': 0.32, 'iter': 30}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2317, 'n_source': 50, 'n_target': 100, 'lipton': 0.36, 'prop-target': 0.8351219512195124, 'oracle': 0.36, 'iter': 79}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.236, 'n_source': 50, 'n_target': 100, 'lipton': 0.38, 'prop-target': 0.6166423357664235, 'oracle': 0.35, 'iter': 46}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2292, 'n_source': 50, 'n_target': 100, 'lipton': 0.64, 'prop-target': 0.14291666666666678, 'oracle': 0.28, 'iter': 72}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2356, 'n_source': 50, 'n_target': 100, 'lipton': 0.3, 'prop-target': 0.8427692307692305, 'oracle': 0.3, 'iter': 73}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2336, 'n_source': 50, 'n_target': 100, 'lipton': 0.43, 'prop-target': 0.5960569105691057, 'oracle': 0.41, 'iter': 77}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2401, 'n_source': 50, 'n_target': 100, 'lipton': 0.6, 'prop-target': 0.19636363636363618, 'oracle': 0.36, 'iter': 88}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2384, 'n_source': 50, 'n_target': 100, 'lipton': 0.28, 'prop-target': 1.0841752577319588, 'oracle': 0.3, 'iter': 89}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2381, 'n_source': 50, 'n_target': 100, 'lipton': 0.37, 'prop-target': 0.5362162162162162, 'oracle': 0.34, 'iter': 80}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2354, 'n_source': 50, 'n_target': 100, 'lipton': 0.64, 'prop-target': 0.49268421052631567, 'oracle': 0.3, 'iter': 71}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.241, 'n_source': 50, 'n_target': 100, 'lipton': 0.27, 'prop-target': 0.8055555555555555, 'oracle': 0.27, 'iter': 82}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2334, 'n_source': 50, 'n_target': 100, 'lipton': 0.3, 'prop-target': 0.775, 'oracle': 0.32, 'iter': 74}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2398, 'n_source': 50, 'n_target': 100, 'lipton': 0.3, 'prop-target': 1.0067924528301888, 'oracle': 0.3, 'iter': 28}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2399, 'n_source': 50, 'n_target': 100, 'lipton': 0.3, 'prop-target': 1.0285714285714287, 'oracle': 0.31, 'iter': 34}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2326, 'n_source': 50, 'n_target': 100, 'lipton': 0.35, 'prop-target': 0.6348648648648649, 'oracle': 0.35, 'iter': 90}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2433, 'n_source': 50, 'n_target': 100, 'lipton': 0.37, 'prop-target': 1.1891891891891893, 'oracle': 0.37, 'iter': 47}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2374, 'n_source': 50, 'n_target': 100, 'lipton': 0.32, 'prop-target': 0.7366666666666668, 'oracle': 0.32, 'iter': 52}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2435, 'n_source': 50, 'n_target': 100, 'lipton': 0.39, 'prop-target': 0.6580530973451327, 'oracle': 0.39, 'iter': 81}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2409, 'n_source': 50, 'n_target': 100, 'lipton': 0.37, 'prop-target': 0.5169767441860466, 'oracle': 0.35, 'iter': 9}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2344, 'n_source': 50, 'n_target': 100, 'lipton': 0.31, 'prop-target': 1.0433333333333334, 'oracle': 0.31, 'iter': 55}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2372, 'n_source': 50, 'n_target': 100, 'lipton': 0.54, 'prop-target': 0.08878048780487802, 'oracle': 0.4, 'iter': 39}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2303, 'n_source': 50, 'n_target': 100, 'lipton': 0.37, 'prop-target': 0.6542682926829266, 'oracle': 0.36, 'iter': 86}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.233, 'n_source': 50, 'n_target': 100, 'lipton': 0.63, 'prop-target': 0.42350515463917515, 'oracle': 0.29, 'iter': 93}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2374, 'n_source': 50, 'n_target': 100, 'lipton': 0.35, 'prop-target': 1.7757894736842115, 'oracle': 0.34, 'iter': 92}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2419, 'n_source': 50, 'n_target': 100, 'lipton': 0.33, 'prop-target': 1.3312000000000002, 'oracle': 0.33, 'iter': 51}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2355, 'n_source': 50, 'n_target': 100, 'lipton': 0.31, 'prop-target': 0.5298039215686274, 'oracle': 0.3, 'iter': 91}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2378, 'n_source': 50, 'n_target': 100, 'lipton': 0.36, 'prop-target': 0.5995683453237409, 'oracle': 0.36, 'iter': 41}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2403, 'n_source': 50, 'n_target': 100, 'lipton': 0.61, 'prop-target': 0.2799999999999998, 'oracle': 0.32, 'iter': 33}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2427, 'n_source': 50, 'n_target': 100, 'lipton': 0.63, 'prop-target': 0.4244528301886793, 'oracle': 0.37, 'iter': 85}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2369, 'n_source': 50, 'n_target': 100, 'lipton': 0.35, 'prop-target': 0.8903249097472926, 'oracle': 0.37, 'iter': 2}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.242, 'n_source': 50, 'n_target': 100, 'lipton': 0.37, 'prop-target': 1.2999999999999998, 'oracle': 0.36, 'iter': 50}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.239, 'n_source': 50, 'n_target': 100, 'lipton': 0.6, 'prop-target': 0.45189189189189183, 'oracle': 0.35, 'iter': 60}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2428, 'n_source': 50, 'n_target': 100, 'lipton': 0.62, 'prop-target': 0.23333333333333353, 'oracle': 0.31, 'iter': 78}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2349, 'n_source': 50, 'n_target': 100, 'lipton': 0.31, 'prop-target': 0.68125, 'oracle': 0.31, 'iter': 59}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2342, 'n_source': 50, 'n_target': 100, 'lipton': 0.36, 'prop-target': 0.5952000000000001, 'oracle': 0.35, 'iter': 84}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2252, 'n_source': 50, 'n_target': 100, 'lipton': 0.33, 'prop-target': 0.6428571428571429, 'oracle': 0.32, 'iter': 37}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2418, 'n_source': 50, 'n_target': 100, 'lipton': 0.64, 'prop-target': 0.040405405405405354, 'oracle': 0.26, 'iter': 40}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2409, 'n_source': 50, 'n_target': 100, 'lipton': 0.39, 'prop-target': 1.283076923076923, 'oracle': 0.4, 'iter': 49}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2379, 'n_source': 50, 'n_target': 100, 'lipton': 0.37, 'prop-target': 0.9434131736526946, 'oracle': 0.37, 'iter': 6}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2375, 'n_source': 50, 'n_target': 100, 'lipton': 0.31, 'prop-target': 0.7967741935483873, 'oracle': 0.31, 'iter': 38}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2401, 'n_source': 50, 'n_target': 100, 'lipton': 0.3, 'prop-target': 0.6927049180327867, 'oracle': 0.29, 'iter': 54}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2338, 'n_source': 50, 'n_target': 100, 'lipton': 0.62, 'prop-target': 0.41999999999999993, 'oracle': 0.31, 'iter': 57}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2332, 'n_source': 50, 'n_target': 100, 'lipton': 0.32, 'prop-target': 1.0664150943396224, 'oracle': 0.31, 'iter': 44}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2371, 'n_source': 50, 'n_target': 100, 'lipton': 0.33, 'prop-target': 2.028679245283019, 'oracle': 0.33, 'iter': 14}
