{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0677, 'n_source': 640, 'n_target': 40, 'labeled': True, 'classical': 0.3, 'supervised': 0.11, 'lipton': 'nan', 'oracle': 'nan', 'prop-target-estimate': 'nan', 'iter': 61, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0664, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.06, 'prop-target-estimate': 0.7184776453055141, 'oracle': 0.06, 'classical': 'nan', 'supervised': 'nan', 'iter': 79, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0728, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.09, 'prop-target-estimate': 0.6753438120987466, 'oracle': 0.1, 'classical': 'nan', 'supervised': 'nan', 'iter': 79, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0648, 'n_source': 1000, 'n_target': 320, 'labeled': False, 'lipton': 0.04, 'prop-target-estimate': 0.6926173789869067, 'oracle': 0.04, 'classical': 'nan', 'supervised': 'nan', 'iter': 54, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0669, 'n_source': 1000, 'n_target': 320, 'labeled': False, 'lipton': 0.03, 'prop-target-estimate': 0.7137455947699065, 'oracle': 0.03, 'classical': 'nan', 'supervised': 'nan', 'iter': 54, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0666, 'n_source': 1000, 'n_target': 320, 'labeled': False, 'lipton': 0.05, 'prop-target-estimate': 0.6955579700898864, 'oracle': 0.05, 'classical': 'nan', 'supervised': 'nan', 'iter': 54, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0658, 'n_source': 1000, 'n_target': 320, 'labeled': False, 'lipton': 0.07, 'prop-target-estimate': 0.6492934942635953, 'oracle': 0.07, 'classical': 'nan', 'supervised': 'nan', 'iter': 54, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0684, 'n_source': 1000, 'n_target': 320, 'labeled': False, 'lipton': 0.1, 'prop-target-estimate': 0.6594521631336091, 'oracle': 0.1, 'classical': 'nan', 'supervised': 'nan', 'iter': 54, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0694, 'n_source': 1000, 'n_target': 320, 'labeled': False, 'lipton': 0.04, 'prop-target-estimate': 0.6788526511756189, 'oracle': 0.04, 'classical': 'nan', 'supervised': 'nan', 'iter': 54, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.064, 'n_source': 1000, 'n_target': 320, 'labeled': False, 'lipton': 0.08, 'prop-target-estimate': 0.668999629979193, 'oracle': 0.09, 'classical': 'nan', 'supervised': 'nan', 'iter': 54, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.065, 'n_source': 1000, 'n_target': 320, 'labeled': False, 'lipton': 0.04, 'prop-target-estimate': 0.7176192725555032, 'oracle': 0.04, 'classical': 'nan', 'supervised': 'nan', 'iter': 54, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0696, 'n_source': 1000, 'n_target': 320, 'labeled': False, 'lipton': 0.08, 'prop-target-estimate': 0.6878301505166107, 'oracle': 0.08, 'classical': 'nan', 'supervised': 'nan', 'iter': 54, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0681, 'n_source': 1000, 'n_target': 320, 'labeled': False, 'lipton': 0.08, 'prop-target-estimate': 0.708662617682069, 'oracle': 0.08, 'classical': 'nan', 'supervised': 'nan', 'iter': 54, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0723, 'n_source': 6240, 'n_target': 40, 'labeled': True, 'classical': 0.29, 'supervised': 0.01, 'lipton': 'nan', 'oracle': 'nan', 'prop-target-estimate': 'nan', 'iter': 74, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.07, 'n_source': 1000, 'n_target': 80, 'labeled': False, 'lipton': 0.05, 'prop-target-estimate': 0.6584135628656697, 'oracle': 0.05, 'classical': 'nan', 'supervised': 'nan', 'iter': 63, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0664, 'n_source': 1000, 'n_target': 80, 'labeled': False, 'lipton': 0.11, 'prop-target-estimate': 0.7010215575430307, 'oracle': 0.11, 'classical': 'nan', 'supervised': 'nan', 'iter': 63, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.068, 'n_source': 1000, 'n_target': 80, 'labeled': False, 'lipton': 0.09, 'prop-target-estimate': 0.7177162375309063, 'oracle': 0.09, 'classical': 'nan', 'supervised': 'nan', 'iter': 63, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0692, 'n_source': 1000, 'n_target': 80, 'labeled': False, 'lipton': 0.03, 'prop-target-estimate': 0.6020893957144478, 'oracle': 0.03, 'classical': 'nan', 'supervised': 'nan', 'iter': 63, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0651, 'n_source': 1000, 'n_target': 80, 'labeled': False, 'lipton': 0.07, 'prop-target-estimate': 0.6506886380034803, 'oracle': 0.07, 'classical': 'nan', 'supervised': 'nan', 'iter': 63, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0657, 'n_source': 1000, 'n_target': 80, 'labeled': False, 'lipton': 0.01, 'prop-target-estimate': 0.5965287235900123, 'oracle': 0.03, 'classical': 'nan', 'supervised': 'nan', 'iter': 63, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.065, 'n_source': 1000, 'n_target': 80, 'labeled': False, 'lipton': 0.06, 'prop-target-estimate': 0.6674065290655902, 'oracle': 0.06, 'classical': 'nan', 'supervised': 'nan', 'iter': 63, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0693, 'n_source': 1000, 'n_target': 80, 'labeled': False, 'lipton': 0.07, 'prop-target-estimate': 0.7090392857142858, 'oracle': 0.07, 'classical': 'nan', 'supervised': 'nan', 'iter': 63, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0732, 'n_source': 1000, 'n_target': 80, 'labeled': False, 'lipton': 0.09, 'prop-target-estimate': 0.726923261161142, 'oracle': 0.09, 'classical': 'nan', 'supervised': 'nan', 'iter': 63, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0686, 'n_source': 1000, 'n_target': 80, 'labeled': False, 'lipton': 0.01, 'prop-target-estimate': 0.6537770431148187, 'oracle': 0.01, 'classical': 'nan', 'supervised': 'nan', 'iter': 63, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0669, 'n_source': 1000, 'n_target': 80, 'labeled': False, 'lipton': 0.06, 'prop-target-estimate': 0.6207961029346064, 'oracle': 0.06, 'classical': 'nan', 'supervised': 'nan', 'iter': 98, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0718, 'n_source': 1000, 'n_target': 80, 'labeled': False, 'lipton': 0.03, 'prop-target-estimate': 0.7165948275862069, 'oracle': 0.03, 'classical': 'nan', 'supervised': 'nan', 'iter': 98, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0648, 'n_source': 1000, 'n_target': 80, 'labeled': False, 'lipton': 0.04, 'prop-target-estimate': 0.7541357280463377, 'oracle': 0.04, 'classical': 'nan', 'supervised': 'nan', 'iter': 98, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0682, 'n_source': 1000, 'n_target': 80, 'labeled': False, 'lipton': 0.03, 'prop-target-estimate': 0.6476956315351402, 'oracle': 0.02, 'classical': 'nan', 'supervised': 'nan', 'iter': 98, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0696, 'n_source': 1000, 'n_target': 80, 'labeled': False, 'lipton': 0.04, 'prop-target-estimate': 0.6877573314259704, 'oracle': 0.04, 'classical': 'nan', 'supervised': 'nan', 'iter': 98, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0624, 'n_source': 1000, 'n_target': 80, 'labeled': False, 'lipton': 0.07, 'prop-target-estimate': 0.6851325526811938, 'oracle': 0.07, 'classical': 'nan', 'supervised': 'nan', 'iter': 98, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.067, 'n_source': 1000, 'n_target': 80, 'labeled': False, 'lipton': 0.07, 'prop-target-estimate': 0.6884544899205863, 'oracle': 0.06, 'classical': 'nan', 'supervised': 'nan', 'iter': 98, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0668, 'n_source': 1000, 'n_target': 80, 'labeled': False, 'lipton': 0.06, 'prop-target-estimate': 0.669691756890731, 'oracle': 0.06, 'classical': 'nan', 'supervised': 'nan', 'iter': 98, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.064, 'n_source': 1000, 'n_target': 80, 'labeled': False, 'lipton': 0.08, 'prop-target-estimate': 0.6862741053934207, 'oracle': 0.08, 'classical': 'nan', 'supervised': 'nan', 'iter': 98, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0672, 'n_source': 1000, 'n_target': 80, 'labeled': False, 'lipton': 0.06, 'prop-target-estimate': 0.7156986168143505, 'oracle': 0.06, 'classical': 'nan', 'supervised': 'nan', 'iter': 98, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0679, 'n_source': 320, 'n_target': 100, 'labeled': False, 'lipton': 0.08, 'prop-target-estimate': 0.5737220134008825, 'oracle': 0.1, 'classical': 'nan', 'supervised': 'nan', 'iter': 94, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0663, 'n_source': 160, 'n_target': 100, 'labeled': False, 'lipton': 0.08, 'prop-target-estimate': 0.5849392712550607, 'oracle': 0.08, 'classical': 'nan', 'supervised': 'nan', 'iter': 86, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0702, 'n_source': 1000, 'n_target': 40, 'labeled': False, 'lipton': 0.05, 'prop-target-estimate': 0.6625552434496302, 'oracle': 0.05, 'classical': 'nan', 'supervised': 'nan', 'iter': 40, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0659, 'n_source': 1000, 'n_target': 40, 'labeled': False, 'lipton': 0.06, 'prop-target-estimate': 0.8229484881209502, 'oracle': 0.06, 'classical': 'nan', 'supervised': 'nan', 'iter': 40, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0657, 'n_source': 1000, 'n_target': 40, 'labeled': False, 'lipton': 0.04, 'prop-target-estimate': 0.6664708540442839, 'oracle': 0.04, 'classical': 'nan', 'supervised': 'nan', 'iter': 40, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0639, 'n_source': 1000, 'n_target': 40, 'labeled': False, 'lipton': 0.02, 'prop-target-estimate': 0.5559263404212026, 'oracle': 0.04, 'classical': 'nan', 'supervised': 'nan', 'iter': 40, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0677, 'n_source': 1000, 'n_target': 40, 'labeled': False, 'lipton': 0.06, 'prop-target-estimate': 0.8616992170696034, 'oracle': 0.06, 'classical': 'nan', 'supervised': 'nan', 'iter': 40, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0671, 'n_source': 1000, 'n_target': 40, 'labeled': False, 'lipton': 0.04, 'prop-target-estimate': 0.6607997277522546, 'oracle': 0.04, 'classical': 'nan', 'supervised': 'nan', 'iter': 40, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0684, 'n_source': 1000, 'n_target': 40, 'labeled': False, 'lipton': 0.07, 'prop-target-estimate': 0.6378817480719794, 'oracle': 0.09, 'classical': 'nan', 'supervised': 'nan', 'iter': 40, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0645, 'n_source': 1000, 'n_target': 40, 'labeled': False, 'lipton': 0.06, 'prop-target-estimate': 0.6473912445820965, 'oracle': 0.06, 'classical': 'nan', 'supervised': 'nan', 'iter': 40, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0719, 'n_source': 1000, 'n_target': 40, 'labeled': False, 'lipton': 0.06, 'prop-target-estimate': 0.6881125615236464, 'oracle': 0.06, 'classical': 'nan', 'supervised': 'nan', 'iter': 40, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0643, 'n_source': 1000, 'n_target': 40, 'labeled': False, 'lipton': 0.14, 'prop-target-estimate': 0.6368828654404648, 'oracle': 0.13, 'classical': 'nan', 'supervised': 'nan', 'iter': 40, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0646, 'n_source': 1440, 'n_target': 40, 'labeled': True, 'classical': 0.28, 'supervised': 0.07, 'lipton': 'nan', 'oracle': 'nan', 'prop-target-estimate': 'nan', 'iter': 86, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0685, 'n_source': 160, 'n_target': 60, 'labeled': True, 'classical': 0.26, 'supervised': 0.09, 'lipton': 'nan', 'oracle': 'nan', 'prop-target-estimate': 'nan', 'iter': 41, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0698, 'n_source': 160, 'n_target': 10, 'labeled': True, 'classical': 0.55, 'supervised': 0.17, 'lipton': 'nan', 'oracle': 'nan', 'prop-target-estimate': 'nan', 'iter': 17, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0705, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.06, 'prop-target-estimate': 0.6989258520184151, 'oracle': 0.06, 'classical': 'nan', 'supervised': 'nan', 'iter': 6, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0659, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.07, 'prop-target-estimate': 0.6950562413902724, 'oracle': 0.07, 'classical': 'nan', 'supervised': 'nan', 'iter': 6, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0668, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.07, 'prop-target-estimate': 0.7137740765340009, 'oracle': 0.06, 'classical': 'nan', 'supervised': 'nan', 'iter': 6, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0658, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.05, 'prop-target-estimate': 0.6849134811676207, 'oracle': 0.05, 'classical': 'nan', 'supervised': 'nan', 'iter': 6, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.065, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.05, 'prop-target-estimate': 0.6836413703921705, 'oracle': 0.07, 'classical': 'nan', 'supervised': 'nan', 'iter': 6, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0686, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.05, 'prop-target-estimate': 0.6870607018586099, 'oracle': 0.06, 'classical': 'nan', 'supervised': 'nan', 'iter': 6, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0652, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.07, 'prop-target-estimate': 0.6921159949497709, 'oracle': 0.07, 'classical': 'nan', 'supervised': 'nan', 'iter': 6, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0657, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.04, 'prop-target-estimate': 0.7127466980621414, 'oracle': 0.04, 'classical': 'nan', 'supervised': 'nan', 'iter': 6, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.067, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.08, 'prop-target-estimate': 0.6895140332640334, 'oracle': 0.08, 'classical': 'nan', 'supervised': 'nan', 'iter': 6, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0655, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.06, 'prop-target-estimate': 0.7155394672008227, 'oracle': 0.06, 'classical': 'nan', 'supervised': 'nan', 'iter': 6, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0686, 'n_source': 1280, 'n_target': 100, 'labeled': False, 'lipton': 0.04, 'prop-target-estimate': 0.6494371222602491, 'oracle': 0.05, 'classical': 'nan', 'supervised': 'nan', 'iter': 38, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.066, 'n_source': 1000, 'n_target': 10, 'labeled': False, 'lipton': 0.08, 'prop-target-estimate': 0.8097333678488222, 'oracle': 0.07, 'classical': 'nan', 'supervised': 'nan', 'iter': 28, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.069, 'n_source': 1000, 'n_target': 10, 'labeled': False, 'lipton': 0.07, 'prop-target-estimate': 0.687680574439157, 'oracle': 0.07, 'classical': 'nan', 'supervised': 'nan', 'iter': 28, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0668, 'n_source': 1000, 'n_target': 10, 'labeled': False, 'lipton': 0.05, 'prop-target-estimate': 0.7850926279934657, 'oracle': 0.05, 'classical': 'nan', 'supervised': 'nan', 'iter': 28, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0691, 'n_source': 1000, 'n_target': 10, 'labeled': False, 'lipton': 0.07, 'prop-target-estimate': 0.5902413312751779, 'oracle': 0.06, 'classical': 'nan', 'supervised': 'nan', 'iter': 28, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0666, 'n_source': 1000, 'n_target': 10, 'labeled': False, 'lipton': 0.05, 'prop-target-estimate': 0.9097000848816373, 'oracle': 0.04, 'classical': 'nan', 'supervised': 'nan', 'iter': 28, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0669, 'n_source': 1000, 'n_target': 10, 'labeled': False, 'lipton': 0.07, 'prop-target-estimate': 0.5898466045900757, 'oracle': 0.06, 'classical': 'nan', 'supervised': 'nan', 'iter': 28, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0645, 'n_source': 1000, 'n_target': 10, 'labeled': False, 'lipton': 0.09, 'prop-target-estimate': 0.5823981579266287, 'oracle': 0.07, 'classical': 'nan', 'supervised': 'nan', 'iter': 28, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0702, 'n_source': 1000, 'n_target': 10, 'labeled': False, 'lipton': 0.07, 'prop-target-estimate': 0.6864739604499744, 'oracle': 0.08, 'classical': 'nan', 'supervised': 'nan', 'iter': 28, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0692, 'n_source': 1000, 'n_target': 10, 'labeled': False, 'lipton': 0.08, 'prop-target-estimate': 0.8036004474178503, 'oracle': 0.08, 'classical': 'nan', 'supervised': 'nan', 'iter': 28, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0677, 'n_source': 1000, 'n_target': 10, 'labeled': False, 'lipton': 0.04, 'prop-target-estimate': 0.5858310186268296, 'oracle': 0.03, 'classical': 'nan', 'supervised': 'nan', 'iter': 28, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0675, 'n_source': 20, 'n_target': 100, 'labeled': False, 'lipton': 0.43, 'prop-target-estimate': 0.36, 'oracle': 0.19, 'classical': 'nan', 'supervised': 'nan', 'iter': 4, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0675, 'n_source': 1440, 'n_target': 40, 'labeled': True, 'classical': 0.32, 'supervised': 0.03, 'lipton': 'nan', 'oracle': 'nan', 'prop-target-estimate': 'nan', 'iter': 72, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0654, 'n_source': 240, 'n_target': 40, 'labeled': True, 'classical': 0.35, 'supervised': 0.12, 'lipton': 'nan', 'oracle': 'nan', 'prop-target-estimate': 'nan', 'iter': 58, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.062, 'n_source': 1000, 'n_target': 160, 'labeled': False, 'lipton': 0.04, 'prop-target-estimate': 0.7058523307247363, 'oracle': 0.04, 'classical': 'nan', 'supervised': 'nan', 'iter': 17, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0685, 'n_source': 1000, 'n_target': 160, 'labeled': False, 'lipton': 0.05, 'prop-target-estimate': 0.7017669150259858, 'oracle': 0.05, 'classical': 'nan', 'supervised': 'nan', 'iter': 17, 'setup': 'constant-prop-source'}
