{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.004, 'n_source': 50, 'n_target': 8, 'labeled': False, 'lipton': 0.28, 'prop-target-estimate': 1.0, 'oracle': 0.28, 'classical': nan, 'supervised': nan, 'iter': 39, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0047, 'n_source': 50, 'n_target': 12750, 'labeled': True, 'classical': 0.005, 'supervised': 0.0125, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 25, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0046, 'n_source': 50, 'n_target': 64, 'labeled': False, 'lipton': 0.135, 'prop-target-estimate': 0.75, 'oracle': 0.135, 'classical': nan, 'supervised': nan, 'iter': 54, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0055, 'n_source': 50, 'n_target': 128, 'labeled': False, 'lipton': 0.45, 'prop-target-estimate': 0.7421875, 'oracle': 0.45, 'classical': nan, 'supervised': nan, 'iter': 64, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0029, 'n_source': 1550, 'n_target': 50, 'labeled': True, 'classical': 0.0525, 'supervised': 0.02, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 74, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0044, 'n_source': 1024, 'n_target': 50, 'labeled': False, 'lipton': 0.0075, 'prop-target-estimate': 0.86, 'oracle': 0.0075, 'classical': nan, 'supervised': nan, 'iter': 2, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0046, 'n_source': 50, 'n_target': 16, 'labeled': False, 'lipton': 0.13, 'prop-target-estimate': 0.8750000000000001, 'oracle': 0.13, 'classical': nan, 'supervised': nan, 'iter': 63, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0056, 'n_source': 50, 'n_target': 350, 'labeled': True, 'classical': 0.03, 'supervised': 0.0625, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 26, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0057, 'n_source': 50, 'n_target': 1550, 'labeled': True, 'classical': 0.0075, 'supervised': 0.0625, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 81, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0048, 'n_source': 350, 'n_target': 50, 'labeled': False, 'lipton': 0.2175, 'prop-target-estimate': 0.66, 'oracle': 0.2175, 'classical': nan, 'supervised': nan, 'iter': 22, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0051, 'n_source': 50, 'n_target': 16, 'labeled': False, 'lipton': 0.12, 'prop-target-estimate': 0.8125, 'oracle': 0.12, 'classical': nan, 'supervised': nan, 'iter': 98, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.005, 'n_source': 3150, 'n_target': 50, 'labeled': True, 'classical': 0.09, 'supervised': 0.0025, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 33, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0036, 'n_source': 50, 'n_target': 3150, 'labeled': True, 'classical': 0.005, 'supervised': 0.0275, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 62, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0036, 'n_source': 64, 'n_target': 50, 'labeled': False, 'lipton': 0.12, 'prop-target-estimate': 0.78, 'oracle': 0.12, 'classical': nan, 'supervised': nan, 'iter': 94, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0051, 'n_source': 32, 'n_target': 50, 'labeled': False, 'lipton': 0.1475, 'prop-target-estimate': 0.76, 'oracle': 0.1475, 'classical': nan, 'supervised': nan, 'iter': 86, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0044, 'n_source': 50, 'n_target': 64, 'labeled': False, 'lipton': 0.5575, 'prop-target-estimate': 0.828125, 'oracle': 0.5575, 'classical': nan, 'supervised': nan, 'iter': 76, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0038, 'n_source': 50, 'n_target': 8, 'labeled': False, 'lipton': 0.1425, 'prop-target-estimate': 0.375, 'oracle': 0.1425, 'classical': nan, 'supervised': nan, 'iter': 40, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0039, 'n_source': 50, 'n_target': 8, 'labeled': False, 'lipton': 0.415, 'prop-target-estimate': 0.625, 'oracle': 0.415, 'classical': nan, 'supervised': nan, 'iter': 33, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0044, 'n_source': 32, 'n_target': 50, 'labeled': False, 'lipton': 0.435, 'prop-target-estimate': 0.76, 'oracle': 0.435, 'classical': nan, 'supervised': nan, 'iter': 86, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0042, 'n_source': 50, 'n_target': 256, 'labeled': False, 'lipton': 0.325, 'prop-target-estimate': 0.77734375, 'oracle': 0.325, 'classical': nan, 'supervised': nan, 'iter': 12, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0054, 'n_source': 350, 'n_target': 50, 'labeled': False, 'lipton': 0.0325, 'prop-target-estimate': 0.68, 'oracle': 0.0325, 'classical': nan, 'supervised': nan, 'iter': 86, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.004, 'n_source': 256, 'n_target': 50, 'labeled': False, 'lipton': 0.335, 'prop-target-estimate': 0.76, 'oracle': 0.335, 'classical': nan, 'supervised': nan, 'iter': 1, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0046, 'n_source': 1550, 'n_target': 50, 'labeled': True, 'classical': 0.0975, 'supervised': 0.005, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 63, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0044, 'n_source': 6350, 'n_target': 50, 'labeled': True, 'classical': 0.0975, 'supervised': 0.0075, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 41, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0054, 'n_source': 3150, 'n_target': 50, 'labeled': True, 'classical': 0.065, 'supervised': 0.0175, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 17, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0042, 'n_source': 750, 'n_target': 50, 'labeled': True, 'classical': 0.0875, 'supervised': 0.0325, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 12, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.005, 'n_source': 6350, 'n_target': 50, 'labeled': True, 'classical': 0.115, 'supervised': 0.0, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 45, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0048, 'n_source': 50, 'n_target': 128, 'labeled': False, 'lipton': 0.1225, 'prop-target-estimate': 0.7656250000000001, 'oracle': 0.1225, 'classical': nan, 'supervised': nan, 'iter': 6, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.004, 'n_source': 256, 'n_target': 50, 'labeled': False, 'lipton': 0.055, 'prop-target-estimate': 0.7, 'oracle': 0.055, 'classical': nan, 'supervised': nan, 'iter': 38, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0047, 'n_source': 2048, 'n_target': 50, 'labeled': False, 'lipton': 0.0075, 'prop-target-estimate': 0.68, 'oracle': 0.0075, 'classical': nan, 'supervised': nan, 'iter': 28, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0039, 'n_source': 50, 'n_target': 1550, 'labeled': True, 'classical': 0.0075, 'supervised': 0.0625, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 18, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0041, 'n_source': 6350, 'n_target': 50, 'labeled': True, 'classical': 0.1275, 'supervised': 0.0025, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 87, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0043, 'n_source': 50, 'n_target': 750, 'labeled': True, 'classical': 0.015, 'supervised': 0.065, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 71, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0031, 'n_source': 350, 'n_target': 50, 'labeled': False, 'lipton': 0.02, 'prop-target-estimate': 0.66, 'oracle': 0.02, 'classical': nan, 'supervised': nan, 'iter': 72, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0033, 'n_source': 50, 'n_target': 3150, 'labeled': True, 'classical': 0.005, 'supervised': 0.0325, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 90, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0044, 'n_source': 50, 'n_target': 512, 'labeled': False, 'lipton': 0.1775, 'prop-target-estimate': 0.748046875, 'oracle': 0.1775, 'classical': nan, 'supervised': nan, 'iter': 58, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0043, 'n_source': 50, 'n_target': 32, 'labeled': False, 'lipton': 0.0775, 'prop-target-estimate': 0.84375, 'oracle': 0.0775, 'classical': nan, 'supervised': nan, 'iter': 17, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.004, 'n_source': 50, 'n_target': 16, 'labeled': False, 'lipton': 0.125, 'prop-target-estimate': 0.75, 'oracle': 0.125, 'classical': nan, 'supervised': nan, 'iter': 28, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0043, 'n_source': 50, 'n_target': 6350, 'labeled': True, 'classical': 0.005, 'supervised': 0.0175, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 99, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0045, 'n_source': 512, 'n_target': 50, 'labeled': False, 'lipton': 0.0475, 'prop-target-estimate': 0.76, 'oracle': 0.0475, 'classical': nan, 'supervised': nan, 'iter': 48, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0044, 'n_source': 50, 'n_target': 150, 'labeled': True, 'classical': 0.06, 'supervised': 0.0825, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 60, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0037, 'n_source': 6350, 'n_target': 50, 'labeled': True, 'classical': 0.11, 'supervised': 0.0125, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 96, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.004, 'n_source': 50, 'n_target': 512, 'labeled': False, 'lipton': 0.1025, 'prop-target-estimate': 0.7226562500000001, 'oracle': 0.1025, 'classical': nan, 'supervised': nan, 'iter': 2, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0047, 'n_source': 50, 'n_target': 3150, 'labeled': True, 'classical': 0.0075, 'supervised': 0.035, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 84, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0048, 'n_source': 16, 'n_target': 50, 'labeled': False, 'lipton': 0.495, 'prop-target-estimate': 0.66, 'oracle': 0.495, 'classical': nan, 'supervised': nan, 'iter': 55, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0048, 'n_source': 64, 'n_target': 50, 'labeled': False, 'lipton': 0.1125, 'prop-target-estimate': 0.68, 'oracle': 0.1125, 'classical': nan, 'supervised': nan, 'iter': 51, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0045, 'n_source': 150, 'n_target': 50, 'labeled': False, 'lipton': 0.29, 'prop-target-estimate': 0.72, 'oracle': 0.29, 'classical': nan, 'supervised': nan, 'iter': 15, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0043, 'n_source': 50, 'n_target': 3150, 'labeled': True, 'classical': 0.005, 'supervised': 0.0225, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 32, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.005, 'n_source': 64, 'n_target': 50, 'labeled': False, 'lipton': 0.205, 'prop-target-estimate': 0.72, 'oracle': 0.205, 'classical': nan, 'supervised': nan, 'iter': 16, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0048, 'n_source': 1550, 'n_target': 50, 'labeled': True, 'classical': 0.1, 'supervised': 0.0175, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 16, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0043, 'n_source': 50, 'n_target': 256, 'labeled': False, 'lipton': 0.2475, 'prop-target-estimate': 0.7539062500000001, 'oracle': 0.2475, 'classical': nan, 'supervised': nan, 'iter': 16, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.005, 'n_source': 50, 'n_target': 150, 'labeled': True, 'classical': 0.0325, 'supervised': 0.1275, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 15, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0038, 'n_source': 1550, 'n_target': 50, 'labeled': True, 'classical': 0.06, 'supervised': 0.025, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 32, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0041, 'n_source': 6350, 'n_target': 50, 'labeled': True, 'classical': 0.0925, 'supervised': 0.015, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 7, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0042, 'n_source': 3150, 'n_target': 50, 'labeled': True, 'classical': 0.0875, 'supervised': 0.015, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 7, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0047, 'n_source': 50, 'n_target': 8, 'labeled': False, 'lipton': 0.36, 'prop-target-estimate': 0.875, 'oracle': 0.36, 'classical': nan, 'supervised': nan, 'iter': 93, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0036, 'n_source': 50, 'n_target': 4, 'labeled': False, 'lipton': 0.1425, 'prop-target-estimate': 0.75, 'oracle': 0.1425, 'classical': nan, 'supervised': nan, 'iter': 90, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0041, 'n_source': 256, 'n_target': 50, 'labeled': False, 'lipton': 0.29, 'prop-target-estimate': 0.74, 'oracle': 0.29, 'classical': nan, 'supervised': nan, 'iter': 60, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0046, 'n_source': 50, 'n_target': 750, 'labeled': True, 'classical': 0.0175, 'supervised': 0.0575, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 29, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0055, 'n_source': 128, 'n_target': 50, 'labeled': False, 'lipton': 0.11, 'prop-target-estimate': 0.6600000000000001, 'oracle': 0.11, 'classical': nan, 'supervised': nan, 'iter': 9, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0043, 'n_source': 50, 'n_target': 12750, 'labeled': True, 'classical': 0.005, 'supervised': 0.015, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 52, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.004, 'n_source': 12750, 'n_target': 50, 'labeled': True, 'classical': 0.0575, 'supervised': 0.0, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 11, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0057, 'n_source': 128, 'n_target': 50, 'labeled': False, 'lipton': 0.285, 'prop-target-estimate': 0.8, 'oracle': 0.285, 'classical': nan, 'supervised': nan, 'iter': 61, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0038, 'n_source': 50, 'n_target': 12750, 'labeled': True, 'classical': 0.0025, 'supervised': 0.0125, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 97, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0043, 'n_source': 50, 'n_target': 256, 'labeled': False, 'lipton': 0.13, 'prop-target-estimate': 0.8085937500000001, 'oracle': 0.13, 'classical': nan, 'supervised': nan, 'iter': 98, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0049, 'n_source': 6350, 'n_target': 50, 'labeled': True, 'classical': 0.085, 'supervised': 0.0075, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 55, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0044, 'n_source': 50, 'n_target': 256, 'labeled': False, 'lipton': 0.3175, 'prop-target-estimate': 0.74609375, 'oracle': 0.3175, 'classical': nan, 'supervised': nan, 'iter': 2, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0047, 'n_source': 50, 'n_target': 4, 'labeled': False, 'lipton': 0.255, 'prop-target-estimate': 0.25000000000000006, 'oracle': 0.255, 'classical': nan, 'supervised': nan, 'iter': 49, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0046, 'n_source': 50, 'n_target': 512, 'labeled': False, 'lipton': 0.1675, 'prop-target-estimate': 0.78125, 'oracle': 0.1675, 'classical': nan, 'supervised': nan, 'iter': 50, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0045, 'n_source': 50, 'n_target': 1550, 'labeled': True, 'classical': 0.015, 'supervised': 0.045, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 45, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.004, 'n_source': 50, 'n_target': 1550, 'labeled': True, 'classical': 0.0125, 'supervised': 0.06, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 96, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0055, 'n_source': 50, 'n_target': 32, 'labeled': False, 'lipton': 0.1725, 'prop-target-estimate': 0.8125, 'oracle': 0.1725, 'classical': nan, 'supervised': nan, 'iter': 62, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0046, 'n_source': 50, 'n_target': 4, 'labeled': False, 'lipton': 0.3775, 'prop-target-estimate': 0.75, 'oracle': 0.3775, 'classical': nan, 'supervised': nan, 'iter': 41, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.004, 'n_source': 1024, 'n_target': 50, 'labeled': False, 'lipton': 0.0325, 'prop-target-estimate': 0.74, 'oracle': 0.0325, 'classical': nan, 'supervised': nan, 'iter': 3, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0046, 'n_source': 1024, 'n_target': 50, 'labeled': False, 'lipton': 0.02, 'prop-target-estimate': 0.82, 'oracle': 0.02, 'classical': nan, 'supervised': nan, 'iter': 5, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.004, 'n_source': 150, 'n_target': 50, 'labeled': False, 'lipton': 0.2875, 'prop-target-estimate': 0.82, 'oracle': 0.2875, 'classical': nan, 'supervised': nan, 'iter': 53, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0038, 'n_source': 50, 'n_target': 8, 'labeled': False, 'lipton': 0.205, 'prop-target-estimate': 0.5, 'oracle': 0.205, 'classical': nan, 'supervised': nan, 'iter': 50, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0047, 'n_source': 6350, 'n_target': 50, 'labeled': True, 'classical': 0.06, 'supervised': 0.0025, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 64, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0048, 'n_source': 1024, 'n_target': 50, 'labeled': False, 'lipton': 0.305, 'prop-target-estimate': 0.74, 'oracle': 0.305, 'classical': nan, 'supervised': nan, 'iter': 86, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0049, 'n_source': 1550, 'n_target': 50, 'labeled': True, 'classical': 0.07, 'supervised': 0.0175, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 58, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0046, 'n_source': 1550, 'n_target': 50, 'labeled': True, 'classical': 0.075, 'supervised': 0.015, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 82, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0053, 'n_source': 50, 'n_target': 128, 'labeled': False, 'lipton': 0.355, 'prop-target-estimate': 0.75, 'oracle': 0.355, 'classical': nan, 'supervised': nan, 'iter': 33, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0038, 'n_source': 128, 'n_target': 50, 'labeled': False, 'lipton': 0.29, 'prop-target-estimate': 0.78, 'oracle': 0.29, 'classical': nan, 'supervised': nan, 'iter': 82, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0051, 'n_source': 50, 'n_target': 350, 'labeled': True, 'classical': 0.045, 'supervised': 0.11, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 92, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0042, 'n_source': 50, 'n_target': 6350, 'labeled': True, 'classical': 0.0025, 'supervised': 0.0175, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 42, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0033, 'n_source': 50, 'n_target': 750, 'labeled': True, 'classical': 0.015, 'supervised': 0.08, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 19, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.004, 'n_source': 50, 'n_target': 32, 'labeled': False, 'lipton': 0.505, 'prop-target-estimate': 0.625, 'oracle': 0.505, 'classical': nan, 'supervised': nan, 'iter': 99, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.004, 'n_source': 2048, 'n_target': 50, 'labeled': False, 'lipton': 0.225, 'prop-target-estimate': 0.76, 'oracle': 0.225, 'classical': nan, 'supervised': nan, 'iter': 30, 'setup': 'decreasing-prop-source'}
